IDOcorrencia,IDLocal
2285606817,41
2285606817,47
2285654707,7
2285606817,7
2285606817,18
2285606817,87
2285606817,49
2285654707,118
2285606817,48
2285662803,100
2285662803,59
2285672089,73
2285650604,87
2285666375,98
2285666375,87
2285645724,4
2285645724,18
2285645724,12
2285645724,3
2285645724,17
2285602375,93
2285607306,4
2285607306,47
2285607306,18
2285607306,31
2285607306,49
2285607306,30
2285652772,147
2285652772,55
2285652772,75
2285606814,159
2285652772,50
2285652772,24
2285599631,237
2285602371,22
2285602371,100
2285602371,59
2285602371,80
2285602370,104
2285602370,52
2285602371,35
2285613980,4
2285660507,129
2285660507,95
2285668886,240
2285666380,274
2285603471,93
2285662793,101
2285662793,13
2285662793,172
2285662793,1
2285655156,4
2285655156,90
2285655156,30
2285665053,4
2285665053,101
2285665053,22
2285665053,118
2285665053,69
2285665053,172
2285665053,50
2285665053,66
2285665053,24
2285649849,363
2285670922,98
2285668893,4
2285668893,47
2285668893,22
2285668893,31
2285668893,118
2285666374,259
2285635879,101
2285646230,49
2285646230,12
2285646230,69
2285646230,1
2285651117,72
2285671289,98
2285671289,3
2285660317,1
2285671289,75
2285668887,131
2285651118,112
2285651118,126
2285651118,127
2285651118,75
2285613986,36
2285611783,129
2285611783,95
2285611783,274
2285650292,188
2285611442,142
2285611442,180
2285661341,429
2285655558,171
2285655558,60
2285655558,42
2285602366,129
2285602366,75
2285602366,410
2285605938,112
2285605938,173
2285606305,60
2285650288,281
2285616971,194
2285644859,171
2285666381,7
2285644859,431
2285644859,463
2285649475,4
2285649475,18
2285649475,50
2285603886,72
2285656473,286
2285656473,432
2285603886,418
2285668884,188
2285656473,372
2285656473,389
2285656473,169
2285668884,229
2285603886,52
2285603136,410
2285603886,381
2285603886,24
2285652036,20
2285662498,180
2285661783,54
2285673107,4
2285673107,166
2285673107,100
2285673107,59
2285673107,170
2285673107,456
2285673107,30
2285673107,156
2285662499,354
2285662499,237
2285673111,354
2285610889,286
2285673111,295
2285673111,355
2285610889,301
2285646633,301
2285646633,191
2285673111,237
2285610889,372
2285610889,389
2285610889,260
2285610889,294
2285646633,270
2285610889,270
2285646633,449
2285610889,446
2285673111,481
2285610889,407
2285610887,132
2285610887,37
2285610887,93
2285610887,428
2285610887,73
2285610887,122
2285610887,386
2285664008,89
2285664008,72
2285664004,286
2285664004,369
2285664004,407
2285606308,391
2285665054,24
2285613981,413
2285603887,462
2285603887,37
2285667623,27
2285667623,75
2285603887,68
2285603887,52
2285603887,381
2285603475,51
2285666614,33
2285675672,27
2285675672,51
2285675672,126
2285675672,420
2285663155,129
2285663155,37
2285664775,237
2285664775,389
2285635876,127
2285635876,538
2285635876,633
2285635876,36
2285664775,558
2285635876,181
2285664775,259
2285635876,724
2285635876,381
2285663924,746
2285675658,72
2285675658,650
2285675658,127
2285666378,443
2285675658,75
2285666378,465
2285666378,534
2285667094,354
2285667094,273
2285667094,445
2285667094,157
2285668878,49
2285667094,698
2285667094,237
2285667094,281
2285667094,372
2285667094,389
2285667094,369
2285667094,270
2285667094,285
2285667094,150
2285667094,287
2285667094,447
2285667094,232
2285646226,87
2285660300,536
2285654704,286
2285654704,301
2285654704,432
2285654704,735
2285654704,372
2285654704,389
2285654704,525
2285654704,552
2285654704,270
2285654704,449
2285654704,670
2285654704,407
2285662489,391
2285662489,585
2285662489,787
2285603879,270
2285653355,428
2285644856,172
2285653355,73
2285668873,404
2285665585,550
2285603881,723
2285603881,534
2285651115,663
2285649193,737
2285602361,420
2285602361,117
2285611434,772
2285652759,132
2285603469,411
2285652759,401
2285652759,54
2285661336,286
2285661336,355
2285661336,301
2285662788,580
2285662788,37
2285662788,27
2285661336,552
2285661336,449
2285662788,173
2285662788,420
2285662788,93
2285662788,428
2285662788,95
2285662788,46
2285662788,883
2285606301,657
2285606301,485
2285661776,286
2285661776,268
2285661776,445
2285661776,432
2285606301,94
2285606301,86
2285661776,698
2285661776,237
2285661776,260
2285661776,552
2285606301,76
2285606301,83
2285606287,771
2285605921,410
2285602354,75
2285660489,310
2285660489,495
2285655147,391
2285664778,391
2285664778,585
2285655147,544
2285661781,827
2285655147,536
2285664778,536
2285664778,114
2285655147,787
2285659975,514
2285618028,514
2285662785,827
2285661778,504
2285661778,73
2285661778,385
2285661778,25
2285661778,78
2285603878,507
2285603878,113
2285603878,172
2285655476,866
2285603128,559
2285603128,507
2285603128,421
2285603128,847
2285603128,975
2285603128,462
2285603128,616
2285603128,581
2285655464,1020
2285603128,504
2285603128,1581
2285603128,420
2285603128,850
2285603128,93
2285603128,878
2285603128,73
2285603128,992
2285603128,75
2285603128,791
2285603128,92
2285664697,528
2285603128,564
2285603128,46
2285603128,71
2285663150,108
2285605925,1040
2285605925,528
2285660486,161
2285660486,341
2285663928,494
2285650594,351
2285655472,935
2285655472,923
2285660495,201
2285646213,1581
2285607290,1581
2285635857,188
2285635857,501
2285664000,229
2285668880,181
2285611778,650
2285664770,795
2285611778,126
2285611778,127
2285611778,618
2285646622,836
2285611778,463
2285611778,410
2285663919,202
2285618025,997
2285650282,935
2285660302,600
2285660302,1089
2285660302,581
2285660302,992
2285660302,1104
2285650282,50
2285660302,381
2285635864,795
2285606300,1035
2285598045,1043
2285598045,68
2285649473,536
2285598045,78
2285654692,955
2285654692,1105
2285607299,515
2285646620,173
2285635868,1001
2285635868,961
2285662778,943
2285662778,1010
2285662778,1001
2285662778,961
2285662778,536
2285649838,351
2285649838,827
2285654693,967
2285649838,515
2285603874,1157
2285603874,913
2285603874,914
2285603874,1149
2285603874,587
2285603874,762
2285661775,501
2285603874,566
2285607294,90
2285607294,609
2285611705,772
2285657704,1010
2285610875,355
2285654696,815
2285610875,268
2285654696,814
2285657704,1121
2285611705,740
2285610875,260
2285654696,971
2285610875,436
2285650274,309
2285610875,948
2285611705,932
2285611705,1236
2285610875,259
2285610875,704
2285667602,677
2285599625,942
2285599625,749
2285643549,1226
2285665581,383
2285665581,1104
2285665581,1069
2285649187,1292
2285675661,1033
2285660488,361
2285649187,618
2285668881,318
2285649187,463
2285649187,1143
2285655474,900
2285649845,1014
2285655474,771
2285649845,1120
2285613162,72
