IDDesfecho,IDsOcorrenciasAssociadas,DataDoDesfecho,TipoDeDesfecho,FoiDesfechoValido,FonteDoDesfecho,BaseParaDesfecho,Bairro,Zona,Cidade,Estado,TextoRelatorioDesfecho,LegendaDoDesfecho,ResumoOcorrencia,PodeDivulgar
36171151977,31341519377,2025-10-07,Indiciado,Sim,Polícia,Ofício + Link da Matéria,Gávea,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36181493297,31341519377,2025-10-07,Indiciado,Sim,Polícia,Ofício + Link da Matéria,Gávea,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36194677327,31341519377,2025-10-07,Indiciado,Sim,,Ofício + Link da Matéria,Gávea,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36194677327,31341519377,2025-10-07,Indiciado,Sim,,Ofício + Link da Matéria,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36171151977,31341519377,2025-10-07,Indiciado,Sim,Polícia,Ofício + Link da Matéria,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36192355504,31341519377,2025-10-07,Indiciado,Sim,,Ofício + Link da Matéria,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36181493297,31341519377,2025-10-07,Indiciado,Sim,Polícia,Ofício + Link da Matéria,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36171151977,31341519377,2025-10-07,Indiciado,Sim,Polícia,Ofício + Link da Matéria,Barra da Tijuca,Rio de Janeiro - Zona Oeste,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36192355504,31341519377,2025-10-07,Indiciado,Sim,,Ofício + Link da Matéria,Barra da Tijuca,Rio de Janeiro - Zona Oeste,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
36181493297,31341519377,2025-10-07,Indiciado,Sim,Polícia,Ofício + Link da Matéria,Barra da Tijuca,Rio de Janeiro - Zona Oeste,Rio de Janeiro,RJ,"Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml","Com o apoio dos Camaleões instalados no seu imóvel e dos seus vizinhos, ladrões de farmácia foram detidos pela 15º DP depois de assalto na Gávea.

Obrigado por ajudar a adensar a Área de Proteção da Gabriel.

Juntos vamos retomar o direito às ruas para todos e todas.

Você já deve ter visto este caso:  https://g1.globo.com/rj/rio-de-janeiro/rj1/video/policia-prende-integrantes-de-quadrilha-que-rouba-farmacias-no-rio-13995996.ghtml",,Sim
